time_minute,machine,area,measurement_count,temp_min,temp_max,temp_mean,temp_std,temp_single_min,temp_single_max,temp_single_mean,temp_single_std,temp_hopper_min,temp_hopper_max,temp_hopper_mean,temp_hopper_std,temp_conv_left_min,temp_conv_left_max,temp_conv_left_mean,temp_conv_left_std,temp_conv_right_min,temp_conv_right_max,temp_conv_right_mean,temp_conv_right_std,temp_auger_left_min,temp_auger_left_max,temp_auger_left_mean,temp_auger_left_std,temp_auger_right_min,temp_auger_right_max,temp_auger_right_mean,temp_auger_right_std,temp_subgrade_min,temp_subgrade_max,temp_subgrade_mean,temp_subgrade_std,speed_min,speed_max,speed_mean,speed_std
2025-10-19 06:13:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,18,12.0,16.0,14.72,0.89,,,,,,,,,,,,,,,,,19.0,19.0,19.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
2025-10-19 06:19:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,36,13.0,16.0,14.92,0.73,,,,,,,,,,,,,,,,,20.0,20.0,20.0,0.0,,,,,,,,,0.72,2.25,1.49,0.78
2025-10-19 06:24:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,36,13.0,18.0,15.19,0.95,,,,,,,,,,,,,,,,,20.0,21.0,20.5,0.51,,,,,,,,,1.84,2.45,2.15,0.31
2025-10-19 06:25:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,18,13.0,16.0,14.89,0.76,,,,,,,,,,,,,,,,,20.0,20.0,20.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
2025-10-19 06:26:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,18,13.0,16.0,15.06,0.8,,,,,,,,,,,,,,,,,21.0,21.0,21.0,0.0,,,,,,,,,0.93,0.93,0.93,0.0
2025-10-19 07:02:00+02,M_0003447E_00000001,A_3087B71D_68F3EA7A,2,12.0,12.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.6,8.55,0.07
2025-10-19 07:39:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,44,13.0,18.0,16.11,1.28,,,,,,,,,,,,,,,,,115.0,118.0,116.5,1.52,,,,,,,,,3.03,3.27,3.15,0.12
2025-10-19 07:40:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,66,13.0,19.0,16.59,1.28,,,,,,,,,,,,,,,,,124.0,126.0,124.67,0.95,,,,,,,,,0.0,3.16,1.65,1.3
2025-10-19 07:41:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,264,16.0,127.0,84.04,41.32,,,,,,,,,,,,,,,,,118.0,128.0,125.25,2.81,,,,,,,,,2.83,3.23,3.12,0.12
2025-10-19 07:42:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,286,110.0,131.0,121.7,4.75,,,,,,,,,,,,,,,,,113.0,131.0,123.54,5.52,,,,,,,,,3.09,3.29,3.2,0.06
2025-10-19 07:42:00+02,F_00034480_68B15CBC,A_3087B71D_68F3EA7A,120,17.0,136.0,94.67,31.97,,,,,,,,,,,,,,,,,106.0,119.0,112.83,4.69,,,,,,,,,1.97,3.09,2.54,0.44
2025-10-19 07:43:00+02,F_00034476_68C29A0E,A_3087B71D_68F3EA7A,286,114.0,132.0,125.35,3.43,,,,,,,,,,,,,,,,,119.0,126.0,123.0,2.36,,,,,,,,,2.83,3.24,3.16,0.11
